id,code,url,url_en,url_image,url_thumb,title,title_en,pref_code,pref,pref_en,author,author_en,authorurl,authorurl_en,license,award,count_view,count_download,Geo3x3,camera,date_shot,iso,exposure_time,exposure_bias,lens_f,lens,whiteblance,focus_length
48,giOZh,https://find47.jp/ja/i/giOZh,https://find47.jp/en/i/giOZh,https://find47.jp/ja/i/giOZh/image_file,https://find47.jp/ja/i/giOZh/image_file?type=thumb,吉田神社,Yoshida-jinja Shrine Aichi,23,愛知県,Aichi,豊橋市,Toyohashi City,,,https://creativecommons.org/licenses/by/4.0/,,2511,6633,E91383527959498431,,,,,,,,,
49,sESC5,https://find47.jp/ja/i/sESC5,https://find47.jp/en/i/sESC5,https://find47.jp/ja/i/sESC5/image_file,https://find47.jp/ja/i/sESC5/image_file?type=thumb,丈山苑,Jozan-en Garden Aichi,23,愛知県,Aichi,安城市,Anjo City,,,https://creativecommons.org/licenses/by/4.0/,,1945,1648,E91383477511179693,,,,,,,,,
113,VS7ML,https://find47.jp/ja/i/VS7ML,https://find47.jp/en/i/VS7ML,https://find47.jp/ja/i/VS7ML/image_file,https://find47.jp/ja/i/VS7ML/image_file?type=thumb,手筒煙火奉揚,Hand-Held Fireworks Hoyo Aichi,23,愛知県,Aichi,豊川市,Toyokawa City,,,https://creativecommons.org/licenses/by/4.0/,,1123,2427,E91383554797927492,,,,,,,,,
114,tfQ1C,https://find47.jp/ja/i/tfQ1C,https://find47.jp/en/i/tfQ1C,https://find47.jp/ja/i/tfQ1C/image_file,https://find47.jp/ja/i/tfQ1C/image_file?type=thumb,尾張津島天王祭「宵祭」,"Owari Tsushima Tenno-sai Festival ""Yoimatsuri"" Aichi",23,愛知県,Aichi,津島市,Tsushima City,,,https://creativecommons.org/licenses/by/4.0/,,727,2257,E91382897582496486,,,,,,,,,
115,sFLH2,https://find47.jp/ja/i/sFLH2,https://find47.jp/en/i/sFLH2,https://find47.jp/ja/i/sFLH2/image_file,https://find47.jp/ja/i/sFLH2/image_file?type=thumb,９尺藤,Kyushaku-fuji Aichi,23,愛知県,Aichi,江南市,Konan City,,,https://creativecommons.org/licenses/by/4.0/,,1482,2139,E91385349887987566,,,,,,,,,
116,Mv1Pg,https://find47.jp/ja/i/Mv1Pg,https://find47.jp/en/i/Mv1Pg,https://find47.jp/ja/i/Mv1Pg/image_file,https://find47.jp/ja/i/Mv1Pg/image_file?type=thumb,旭城南の田んぼ,Rice Field Of Asahijonan Aichi,23,愛知県,Aichi,尾張旭市,Owariasahi City,,,https://creativecommons.org/licenses/by/4.0/,,888,1967,E91385336347526815,,,,,,,,,
259,z29GO,https://find47.jp/ja/i/z29GO,https://find47.jp/en/i/z29GO,https://find47.jp/ja/i/z29GO/image_file,https://find47.jp/ja/i/z29GO/image_file?type=thumb,香嵐渓,korankei Aichi,23,愛知県,Aichi,iku,iku,https://app.find47.jp/ja/u/CqO34,https://app.find47.jp/en/u/CqO34,https://creativecommons.org/licenses/by/4.0/,,758,1790,E91383875115298449,Canon Canon EOS Kiss Digital,2008-11-22 13:43:02 +0900,200,1/100,+1/3,5.6,,Auto,
279,qVZvi,https://find47.jp/ja/i/qVZvi,https://find47.jp/en/i/qVZvi,https://find47.jp/ja/i/qVZvi/image_file,https://find47.jp/ja/i/qVZvi/image_file?type=thumb,成海神社例大祭,narumi matsuri Aichi,23,愛知県,Aichi,iku,iku,https://app.find47.jp/ja/u/CqO34,https://app.find47.jp/en/u/CqO34,https://creativecommons.org/licenses/by/4.0/,,852,4518,E91382959316829297,Canon Canon EOS 50D,2010-10-10 19:37:18 +0900,320,1/60,-0.656,1.4,,Unknown (-1),
396,CtrA9,https://find47.jp/ja/i/CtrA9,https://find47.jp/en/i/CtrA9,https://find47.jp/ja/i/CtrA9/image_file,https://find47.jp/ja/i/CtrA9/image_file?type=thumb,本證寺 (安城市),"""Temple Honsho-ji"" - Anjo City Aichi",23,愛知県,Aichi,Tatsuya0530,Tatsuya0530,https://app.find47.jp/ja/u/LQQcp,https://app.find47.jp/en/u/LQQcp,https://creativecommons.org/licenses/by/4.0/,,496,3553,E91383475676827937,SONY DSLR-A350,2017-05-16 19:39:18 +0900,200,1/60,0,4.0,Vario-Sonnar T＊ 24-70mm F2.8 ZA SSM SAL2470Z,Auto,36 mm
4005,dOHuK,https://find47.jp/ja/i/dOHuK,https://find47.jp/en/i/dOHuK,https://find47.jp/ja/i/dOHuK/image_file,https://find47.jp/ja/i/dOHuK/image_file?type=thumb,聚楽園大仏,With the cityscape in the background Aichi,23,愛知県,Aichi,Nakai_Chan,emon,https://app.find47.jp/ja/u/Ie6hl,https://app.find47.jp/en/u/Ie6hl,https://creativecommons.org/licenses/by/4.0/,,0,0,E91382952759329655,Canon Canon EOS KISS M,2021-09-25 16:13:29 +0900,640,1/800,0,6.3,EF-M55-200mm f/4.5-6.3 IS STM,Auto,
